C1PR2014080422242453DFA5A84AB6E,920051002-247
C1PR2014080422171953DFA3FFD6E7F,920051002-133
C1PR2014080422165153DFA3E3A1BC3,920071001-188
C1PR2014080422163753DFA3D567F90,920051002-238
C1PR2014080422101553DFA257CA9FB,920051002-114
C1PR2014080420500753DF8F8F27893,920091001-3
C1PR2014080422092753DFA227054A8,920051002-173
C1PR2014080422041253DFA0EC8A049,920071001-19
C1PR2014080422040653DFA0E6E8A97,920071001-92
C1PR2014080422035753DFA0DD411D3,920071001-91
C1PR2014080422034653DFA0D283F5F,920071001-116
C1PR2014080421544253DF9EB283AD2,920051002-145
C1PR2014080421543353DF9EA97568B,920071001-73
C1PR2014080421542853DF9EA41C018,920051002-19
C1PR2014080421540653DF9E8EA7BAC,920051002-48
C1PR2014080420520753DF90080125D,920091001-24
C1PR2014080421525953DF9E4BE31A9,920051002-116
C1PR2014080421524253DF9E3A93024,920071001-62
C1PR2014080421511553DF9DE3B754A,920051002-21
C1PR2014081222303953EA331F2535A,920041005-49
C1PR2014080420532753DF9057420A2,920091001-8
C1PR2014080420533353DF905D53EC2,920091001-10
C1PR2014080420540053DF90786BE51,920091002-2
C1PR2014080421453553DF9C8FE334D,920061010-6
C1PR2014080420550053DF90B4C4E97,920091002-5
C1PR2014080421451053DF9C768312F,920051002-49
C1PR2014080420550753DF90BB51F2B,920091002-1
C1PR2014080421440353DF9C335E394,920051002-16
C1PR2014080421440053DF9C30449B6,920071001-146
C1PR2014080421435053DF9C2648107,920061002-21
C1PR2014080421433553DF9C1724142,920061002-19
C1PR2014080421432953DF9C11C05CB,920061002-20
C1PR2014080421431953DF9C07B74C8,920061002-18
C1PR2014080421430453DF9BF88EDEA,920051002-52
C1PR2014080421424653DF9BE62D64B,920051002-202
C1PR2014080421422053DF9BCC28AFC,920051002-25
C1PR2014080421420453DF9BBCF0C86,920051002-65
C1PR2014080421415553DF9BB33DD00,920071001-89
C1PR2014080421414853DF9BAC6D968,920051002-194
C1PR2014080421413453DF9B9E4787F,920071001-96
C1PR2014080421412453DF9B9441749,920051002-73
C1PR2014080420553553DF90D724D71,920111001-21
C1PR2014080421411553DF9B8B0FE0C,920071001-27
C1PR2014080420554253DF90DE84016,920111001-12
C1PR2014080421410953DF9B851B5AE,920061015-1
C1PR2014080421410253DF9B7E5A621,920061006-6
C1PR2014080421404853DF9B7053D75,920051002-232
C1PR2014080421403553DF9B63BF091,920061006-7
C1PR2014080421402653DF9B5A7AE9A,920061006-5
C1PR2014080421402053DF9B5409BFF,920061006-4
C1PR2014080420561253DF90FCAF0C1,920041005-13
C1PR2014080421382753DF9AE320715,920071001-206
C1PR2014080421382753DF9AE3F1EAE,920051002-13
C1PR2014080420564953DF91219AD42,920041005-2
C1PR2014080421373853DF9AB26C54D,920071010-1
C1PR2014080421372653DF9AA610827,920061011-3
C1PR2014080420572153DF914102BA3,920101003-5
C1PR2014080421364853DF9A8085394,920061011-36
C1PR2014080420571953DF913F8392A,920041005-43
C1PR2014080420582953DF9185E87FB,920111001-15
C1PR2014080421334353DF99C8009D6,920031002-199
C1PR2014080421333753DF99C172D95,920051002-139
C1PR2014080421332453DF99B440ED9,920051002-94
C1PR2014080421331153DF99A7B9B5A,920071011-10
C1PR2014080420590253DF91A634E24,920101003-24
C1PR2014080420590153DF91A513AC4,920041005-42
C1PR2014080421314853DF995456E8F,920031002-221
C1PR2014080421313653DF9948A4DCB,920031002-254
C1PR2014080421312953DF9941392E9,920051002-6
C1PR2014080421312453DF993C934EB,920061011-21
C1PR2014080421311353DF9931D6F31,920031002-69
C1PR2014080421310853DF992C6CBFF,920071014-18
C1PR2014080421305253DF991C40985,920051002-175
C1PR2014080421305953DF99230DA92,920031002-247
C1PR2014080421305053DF991A92A5C,920071014-41
C1PR2014080421304753DF9917B11FB,920061011-2
C1PR2014080421303953DF990F3D224,920031002-229
C1PR2014080421303153DF990800DD8,920031002-249
C1PR2014080421291953DF98BF6D57F,920051002-27
C1PR2014080421012053DF92300B29A,920101003-23
C1PR2014080421010153DF921D7F419,920101003-19
C1PR2014080421004753DF920F3B511,920101003-4
C1PR2014080421052153DF932106A1A,920031002-5
C1PR2014080421051553DF931BC5BC7,920031002-253
C1PR2014080421043453DF92F259EF9,920101001-33
C1PR2014080421050753DF93138A3A8,920111001-37
C1PR2014080421015153DF924FA6A39,920101003-17
C1PR2014080421015953DF925776469,920041005-19
C1PR2014080421015653DF92547F620,920101003-11
C1PR2014080421014953DF924DF23EF,920031002-48
C1PR2014080421014653DF924AACED2,920041005-34
C1PR2014080421044453DF92FC4B4A4,920111001-11
C1PR2014080421044053DF92F87B198,920031002-151
C1PR2014080421020253DF925A5F2BD,920031002-117
C1PR2014080421040353DF92D38D6CF,920031002-107
C1PR2014080421035853DF92CE3D1F8,920101001-20
C1PR2014080421035053DF92C6694CE,920041005-44
C1PR2014080421035453DF92CA059BE,920031002-105
C1PR2014082217030353F71557E98D5,920031002-266
C1PR2014080421031853DF92A697612,920111001-47
C1PR2014080421031553DF92A37688F,920101001-60
C1PR2014080421031153DF929F52F4F,920111001-16
C1PR2014080421032053DF92A8E24F8,920101001-73
C1PR2014080421034753DF92C3440B4,920031002-100
C1PR2014080421034153DF92BD9B0EB,920111001-17
C1PR2014080421033353DF92B533623,920101001-44
C1PR2014080421032353DF92AB1986F,920111001-4
C1PR2014080421033453DF92B6424EA,920041005-35
C1PR2014080421033153DF92B3345C4,920111001-20
C1PR2014080421041753DF92E1F2D3F,920041005-45
C1PR2014080421042653DF92EA76CFC,920031002-224
C1PR2014080421041353DF92DDC96C7,920101001-65
C1PR2014080421042953DF92ED80840,920041005-21
C1PR2014080421044053DF92F8836AB,920111001-29
C1PR2014080421043453DF92F294BBF,920041005-28
C1PR2014080421043153DF92EFCCBD9,920111001-49
C1PR2014080421053553DF932FA6853,920111001-39
C1PR2014080421054153DF933531D72,920101001-82
C1PR2014080421063353DF93698EA43,920101001-59
C1PR2014080421290953DF98B56121D,920071014-29
C1PR2014080421290853DF98B429304,920051002-200
C1PR2014080421283953DF9897C3447,920071014-6
C1PR2014080421280053DF9870719F7,920031002-198
C1PR2014080421274753DF98631D6D5,920031002-196
C1PR2014080421273853DF985AA5603,920031002-244
C1PR2014080421273453DF985607457,920071014-30
C1PR2014080421272553DF984D1A984,920061011-60
C1PR2014080421271453DF984283C27,920061011-64
C1PR2014080421080953DF93C9C1D46,920101001-77
C1PR2014080421081353DF93CD6CDF7,920101001-92
C1PR2014080421271353DF9841154C0,920051002-38
C1PR2014080421271553DF9843E84CF,920031002-62
C1PR2014080421270253DF98368CD68,920051004-6
C1PR2014080421270153DF9835C1F43,920031002-163
C1PR2014080421270053DF9834331B3,920061011-38
C1PR2014080421265053DF982A0A15E,920051004-13
C1PR2014080421085753DF93F90D637,920101001-14
C1PR2014080421263453DF981A8BAAD,920071014-45
C1PR2014080421263153DF9817179B0,920051004-17
C1PR2014080421262653DF98124BAAA,920071014-36
C1PR2014080421091653DF940C0756F,920101001-66
C1PR2014080421262253DF980E96E75,920051004-11
C1PR2014080421262153DF980DE72BA,920031002-258
C1PR2014080421261453DF9806B293B,920061011-71
C1PR2014080421100453DF943C166CC,920101001-70
C1PR2014080421095453DF943234F8B,920101001-19
C1PR2014080421255953DF97F7C3613,920061011-28
C1PR2014080421110753DF947B2669E,920031002-85
C1PR2014080421102253DF944E5229D,920061012-4
C1PR2014080421104453DF94641D4CC,920061012-30
C1PR2014080421103553DF945C00A3B,920031002-153
C1PR2014080421103553DF945B75D41,920101001-53
C1PR2014080421103953DF945FA2A15,920101001-7
C1PR2014080421103253DF9458C37D3,920061012-29
C1PR2014080421120953DF94B9DFF3F,920061012-19
C1PR2014090121164654047FCE56B10,920061003-5
C1PR2014080421112553DF948D8A645,920101001-10
C1PR2014080421115853DF94AE73ADA,920061012-24
C1PR2014080421112953DF9491B2143,920101001-56
C1PR2014080421115453DF94AA37F2B,920031002-251
C1PR2014080421114353DF94A0004F1,920101001-15
C1PR2014080421114553DF94A162862,920031002-250
C1PR2014080421114753DF94A3DC665,920061012-25
C1PR201408311530405402DD30BE4F1,550-002-10
C1PR2014080421164953DF95D107346,920031002-215
C1PR2014080421163853DF95C6D6447,920061001-6
C1PR2014080421163153DF95BF1D154,920061001-29
C1PR201408302118305401DD3659540,550-004-2
C1PR2014080421160453DF95A4060C2,920101002-4
C1PR2014080421140953DF953177081,920031002-53
C1PR2014080421140253DF952A3B3C3,920031002-121
C1PR2014080421134953DF951DE1837,920101001-30
C1PR2014080421160853DF95A807758,920061001-38
C1PR2014080421143353DF95492F434,920031002-168
C1PR2014080421142853DF9544DA0C1,920061012-13
C1PR2014080421142353DF953F5703C,920031002-219
C1PR2014080421143853DF954E61C67,920031002-166
C1PR2014080421145453DF955E4A9CE,920101001-68
C1PR2014090121161154047FAB18833,920061003-3
C1PR2014080421145953DF9563A97C2,920061012-11
C1PR2014080421154753DF95935009D,920061012-7
C1PR2014080421154053DF958C35EF5,920101002-1
C1PR2014080421151353DF9571391D4,920101001-1
C1PR2014080421150853DF956C31966,920031002-255
C1PR2014080421150653DF956AD6408,920061012-12
C1PR2014080421151653DF9574BB49C,920061012-16
C1PR2014080421152353DF957BECECB,920061012-10
C1PR2014080421250753DF97C37022A,920071014-46
C1PR2014080421173853DF960230B3C,920061001-19
C1PR2014080421174653DF960A40ECD,920031002-152
C1PR2014080421174853DF960C76ED3,920101004-1
C1PR2014080421250053DF97BC22D8C,920071014-17
C1PR2014080421183253DF963810932,920061001-11
C1PR2014080421182753DF9633D1696,920031002-183
C1PR2014080421181353DF96252FA7E,920061001-18
C1PR2014080421175753DF9615963A9,920101004-3
C1PR2014080421174453DF9608E936C,920061001-45
C1PR2014081914061053F2F76245605,550-002-4
C1PR2014080421180053DF9618D38E0,920031002-228
C1PR2014080421180553DF961D2F03E,920061001-4
C1PR2014090121155654047F9C27E8D,920061003-7
C1PR2014080421244053DF97A883F4D,920031002-104
C1PR2014080421244353DF97AB32344,920061011-52
C1PR2014080421243553DF97A31A9BC,920061011-35
C1PR2014080421243453DF97A24B4B9,920031002-143
C1PR2014080421242253DF97967F769,920061011-54
C1PR2014080421242253DF9796F3EDC,920071014-8
C1PR2014080421241553DF978FAC245,920051004-3
C1PR2014090121133554047F0F9B1F9,920061003-2
C1PR2014080421240753DF9787CC578,920071014-14
C1PR2014080421202953DF96AD4A330,920031002-234
C1PR2014080421235853DF977E6FCCA,920061011-49
C1PR2014080421234553DF9771B89AD,920051004-2
C1PR2014080421232153DF9759BA1DE,920061011-29
C1PR2014080421231553DF9753BD242,920061011-74
C1PR2014080421230953DF974D03F91,920031002-24
C1PR2014080421230153DF97454C8AB,920031002-208
C1PR2014080421222253DF971E8C4AD,920071014-31
C1PR2014080421210453DF96D0C394F,920061001-1
C1PR2014080421221553DF971798B3D,920061001-36
C1PR2014080421220053DF9708CFBBC,920061001-14
C1PR2014080421211353DF96D987FAD,920061001-39
C1PR2014080421215953DF9707E8F1F,920031002-190
C1PR2014080421211953DF96DFBF3C9,920061001-9
C1PR2014080421215553DF9703C3A01,920061001-33
C1PR2014080421215053DF96FE29D01,920071014-28
C1PR20140901215056540487D05BA35,550-002-8
C1PR2014080421212753DF96E7D6416,920061001-34
C1PR20140901215038540487BEBC02E,550-002-7
C1PR2014080421214153DF96F53590B,920031002-265
C1PR2014080421213653DF96F063849,920061001-26
C1PR2014080421214353DF96F7C07E5,920071014-9
C1PR2014080421214253DF96F6AA8BA,920061001-13
C1PR2014080421215953DF9707B6D05,920071014-24
C1PR2014080421220953DF971145E46,920061001-8
C1PR2014080421220853DF971067033,920031002-230
C1PR2014080421221253DF971501046,920071014-12
C1PR2014080421222253DF971E8C5E6,920031002-30
C1PR2014080421232053DF9758C79D1,920031002-144
C1PR2014080421234553DF97715392C,920031002-193
C1PR2014080421233953DF976BB377B,920071014-4
C1PR2014080421233653DF9768AE3FA,920051004-15
C1PR2014080421232953DF9761E9DEA,920031002-150
C1PR2014080421233653DF9768365FE,920031002-14
C1PR2014080422230753DFA55B5FA13,920071001-107
C1PR2014080422123553DFA2E36146F,920051002-214
C1PR2014080422121353DFA2CD410EC,920051002-142
C1PR2014080420495253DF8F80F06A0,920091001-1
C1PR2014080422105353DFA27DA7546,920071001-179
C1PR2014080422104753DFA277BC553,920071001-185
C1PR2014080422103853DFA26E30732,920071001-158
C1PR2014080422102653DFA2629F7F1,920071001-57
C1PR2014080422101453DFA256B3C6D,920071001-167
C1PR2014080422101053DFA25226E7A,920051002-182
C1PR2014080422100053DFA248CF54F,920071001-76
C1PR2014080420501953DF8F9B53A53,920091001-6
C1PR2014080422091653DFA21C6773A,920051002-187
C1PR2014080422084153DFA1F984567,920051002-30
C1PR2014080422083453DFA1F2AB0CD,920071001-181
C1PR2014080422082353DFA1E76DC97,920071001-58
C1PR2014080422081053DFA1DAE4E4A,920071001-54
C1PR2014080422075153DFA1C75A05F,920071001-2
C1PR2014080422074153DFA1BDEEC8D,920051002-97
C1PR2014080422072153DFA1A995499,920051002-113
C1PR2014080422070853DFA19C2F45D,920051002-93
C1PR2014080422070553DFA19970957,920071001-94
C1PR2014080420503853DF8FAE800F8,920091001-27
C1PR2014080422062253DFA16E0DB54,920051002-137
C1PR2014080422053653DFA14097DF5,920051002-199
C1PR2014080422050953DFA1252EF80,920071001-201
C1PR2014080422043053DFA0FED5AA5,920071001-49
C1PR2014080422032953DFA0C1D66BE,920051002-84
C1PR2014080421590353DF9FB7D2D33,920071001-150
C1PR2014080421584853DF9FA8E85EA,920071001-134
C1PR2014080421583653DF9F9C97FC3,920071001-59
C1PR2014080421583053DF9F969D628,920071001-197
C1PR2014080421581653DF9F8892F5F,920071001-135
C1PR2014080421580953DF9F811EB2C,920071001-207
C1PR2014080421575853DF9F766EB66,920071001-196
C1PR2014080420522953DF901DD8964,920041005-8
C1PR2014080421530653DF9E52565D2,920051002-50
C1PR2014080421523053DF9E2EE51FC,920071001-130
C1PR2014080421520153DF9E1135B22,920071001-162
C1PR2014080421514753DF9E0354A3C,920071001-36
C1PR2014080421512553DF9DEDBB8B5,920071001-151
C1PR2014080420525653DF903815759,920041005-30
C1PR2014080421463653DF9CCC8A03C,920051002-191
C1PR2014080421462253DF9CBE1F410,920061010-15
C1PR2014080421462153DF9CBD7172C,920051002-125
C1PR2014080421460553DF9CADC29C1,920051002-78
C1PR2014080421455953DF9CA7B0949,920071001-125
C1PR2014080421454653DF9C9A6DED8,920071001-53
C1PR2014080421453553DF9C8FE8291,920071001-87
C1PR2014080421444853DF9C60B3BA6,920071001-166
C1PR2014080421410053DF9B7C77900,920051002-128
C1PR2014080421410853DF9B847047F,920071001-93
C1PR2014080421404353DF9B6BA8D64,920061006-8
C1PR2014080421404153DF9B69D8EBD,920051002-172
C1PR2014080421403053DF9B5EB51D3,920051002-237
C1PR2014080421401453DF9B4E20250,920051002-55
C1PR2014080421401753DF9B51A7BFB,920071001-9
C1PR2014080421401153DF9B4B4CB38,920061006-3
C1PR2014080420560153DF90F19735A,920111001-18
C1PR2014080420560653DF90F606451,920111001-41
C1PR2014080421374253DF9AB68D97A,920051002-87
C1PR2014080421373153DF9AAB6B2FD,920071010-3
C1PR2014080420570153DF912D0869E,920041005-9
C1PR2014080421372953DF9AA94336D,920051002-82
C1PR2014080421370953DF9A95E339E,920051002-155
C1PR2014080420571053DF9136BCF31,920041005-26
C1PR2014080421350653DF9A1ACEA38,920071011-5
C1PR2014080421342653DF99F2C7BEB,920071011-11
C1PR2014080421342253DF99EEAF4EB,920061011-59
C1PR2014080421340353DF99DB0F479,920061011-53
C1PR2014080420582953DF91854D78D,920041005-36
C1PR2014080420583553DF918B8B2A1,920111001-34
C1PR2014080420574553DF9159773CD,920111001-42
C1PR2014080420575253DF916006870,920111001-38
C1PR2014080420585153DF919B4F3AF,920041005-39
C1PR2014080421331053DF99A629C90,920051002-246
C1PR2014080421325853DF999A0E7FD,920051002-100
C1PR2014080420590753DF91ABD8100,920041005-32
C1PR2014080421323253DF998015634,920031002-245
C1PR2014080420590853DF91AC198C1,920111001-40
C1PR2014080421322053DF9974B5BB8,920031002-52
C1PR2014080420591153DF91AF732C3,920041005-14
C1PR2014080421321453DF996E229FE,920031002-127
C1PR2014080421321553DF996F12927,920051002-169
C1PR2014080421320853DF9968A2EBA,920031002-213
C1PR2014080421320253DF99622CA3F,920051002-59
C1PR2014080421315753DF995D46CB7,920031002-220
C1PR2014080420592953DF91C10FF76,920041005-31
C1PR2014080421312253DF993A44FCE,920071014-20
C1PR2014080421312053DF9938CD989,920061011-56
C1PR2014080421311053DF992EC7226,920051002-171
C1PR2014080421310553DF992946574,920031002-9
C1PR2014080421310053DF99248D33B,920061011-58
C1PR2014080421302553DF99010B95A,920061011-39
C1PR2014080421301453DF98F6BEA20,920061011-9
C1PR2014080421301753DF98F98CE91,920031002-259
C1PR2014080421301453DF98F6312C5,920051002-192
C1PR2014080421295053DF98DE580CD,920071014-37
C1PR2014080421294153DF98D574E27,920071014-1
C1PR2014080421003153DF91FF76D38,920101003-15
C1PR2014090121172754047FF70FAB4,920061003-1
C1PR2014080421293653DF98D06BDAE,920061011-7
C1PR2014080421292953DF98C999E5A,920061011-68
C1PR2014080421013653DF9240F1B71,920111001-35
C1PR2014080421013353DF923DC270F,920031002-88
C1PR2014080421013253DF923C70C7F,920041005-51
C1PR2014080421014153DF92456CCD2,920111001-32
C1PR2014080421051553DF931BA2B96,920101001-61
C1PR2014090122035054048AD62591C,550-004-4
C1PR2014080421050553DF9311AE865,920031002-159
C1PR2014080421040653DF92D653AC7,920101001-17
C1PR2014080421040553DF92D51E4D7,920041005-10
C1PR2014080421031053DF929E893DA,920041005-33
C1PR2014080421030853DF929C40212,920101001-57
C1PR2014080421021553DF9267C2DAD,920101003-7
C1PR2014080421030353DF929705F1E,920041005-46
C1PR2014080421030053DF92940D63B,920111001-7
C1PR2014080421023253DF9278D563B,920101003-10
C1PR2014080421023053DF9276D5ACB,920031002-118
C1PR2014080421025753DF92912F0EF,920101001-86
C1PR2014080421024253DF9282483D7,920031002-212
C1PR2014080421025653DF92902821F,920111001-10
C1PR2014080421024553DF92856B199,920111001-27
C1PR2014080421024053DF9280B80F2,920101001-45
C1PR2014080421045453DF9306ADAD4,920111001-24
C1PR2014080421044853DF9300D4DF7,920031002-222
C1PR2014080421045853DF930AD5781,920031002-178
C1PR2014080421053153DF932BABC1C,920101001-58
C1PR2014080421053953DF93332B205,920111001-23
C1PR2014080421062553DF9361DAF39,920111001-8
C1PR2014080421292153DF98C1D2AF0,920071014-42
C1PR2014080421063253DF9368E638D,920111001-5
C1PR2014080421291653DF98BC3D88A,920031002-63
C1PR2014080421284853DF98A03090D,920071014-27
C1PR2014080421283353DF98919DD8B,920071014-5
C1PR2014080421064053DF9370D97F6,920111001-31
C1PR2014080421064353DF9373DCDBC,920101001-34
C1PR2014080421065453DF937EE5696,920111001-43
C1PR2014080421071453DF9392D7740,920031002-252
C1PR2014080421070253DF93862BA7C,920101001-21
C1PR2014080421070653DF938A3B308,920031002-170
C1PR2014080421280653DF9876F0941,920031002-232
C1PR2014080421072853DF93A0134E4,920031002-197
C1PR2014080421071653DF93940C82E,920101001-55
C1PR2014080421072053DF93984262A,920031002-122
C1PR2014080422180153DFA429EB990,920051002-7
C1PR2014080422175053DFA41EDDB6A,920051002-31
C1PR2014080422175753DFA425A6B86,920071001-70
C1PR2014080422174553DFA41980883,920071001-192
C1PR2014080420483953DF8F371008C,920091003-1
C1PR2014080422173353DFA40D83930,920071001-39
C1PR2014080422172853DFA408882FE,920051002-134
C1PR2014080422171953DFA3FF8CD09,920071001-24
C1PR2014080422170053DFA3ECA6FA9,920051002-146
C1PR2014080422165553DFA3E7975EA,920071001-132
C1PR2014080422165353DFA3E53BC51,920051002-233
C1PR2014080420490253DF8F4E67322,920091008-2
C1PR2014080420484853DF8F407EB11,920091004-1
C1PR2014080420502653DF8FA2C7410,920091001-9
C1PR2014080422080353DFA1D3C0DAB,920051002-163
C1PR2014080422074053DFA1BC97D8A,920071001-160
C1PR2014080422071953DFA1A750CB6,920071001-55
C1PR2014080421523553DF9E33505FF,920051002-162
C1PR2014080421520853DF9E1844025,920071001-187
C1PR2014080420523853DF90262ACDD,920041005-1
C1PR2014080421514253DF9DFEB8FAA,920071001-176
C1PR2014080420523953DF90277017C,920091001-28
C1PR2014080421513853DF9DFAB001C,920071001-88
C1PR2014080421492953DF9D798BC6B,920071001-31
C1PR2014080421485953DF9D5B33CA4,920071001-178
C1PR2014080421484353DF9D4B7B9D1,920051002-37
C1PR2014080420532053DF9050033FB,920091001-5
C1PR2014080421431653DF9C0422A14,920051002-8
C1PR2014080421425953DF9BF30F205,920051002-244
C1PR2014080421423953DF9BDFACD16,920051002-119
C1PR2014080421420653DF9BBE2EDF1,920071001-23
C1PR2014080422255553DFA60338673,920071001-164
C1PR2014080422255853DFA6068033C,920071001-173
C1PR2014080422260553DFA60D2332C,920051002-212
C1PR2014080422260653DFA60E43154,920071001-66
C1PR2014080422261753DFA619D8C1E,920051002-217
C1PR2014080422262253DFA61E77D52,920071001-140
C1PR2014080422262553DFA621DE663,920051002-35
C1PR2014080422262653DFA622C4F40,920071001-52
C1PR2014080422263353DFA62948D9B,920051002-77
C1PR2014080422264353DFA633D7DEF,920071001-60
C1PR2014080422263953DFA62FAE4CA,920051002-117
C1PR2014080422265553DFA63F348D7,920071001-21
C1PR2014080422270453DFA648AFE9E,920071001-177
C1PR2014080422270853DFA64CD26A1,920071001-168
C1PR2014080422270453DFA64819810,920051002-39
C1PR2014080422271453DFA652A39BB,920071012-8
C1PR2014080422271553DFA6537130A,920051002-196
C1PR2014080422272553DFA65D305E6,920051002-215
C1PR2014080422272453DFA65C0922E,920071012-3
C1PR2014080422273253DFA664A8863,920051002-203
C1PR2014080422273753DFA669595B8,920071012-16
C1PR2014080422274253DFA66E4199B,920051002-4
C1PR2014080422274953DFA67506DA2,920071012-39
C1PR2014080422275453DFA67A67DF8,920051002-161
C1PR2014080422280853DFA68849F67,920051002-26
C1PR2014080422282953DFA69D39C24,920051002-124
C1PR2014080422283453DFA6A2D3B21,920051002-123
C1PR2014080422285553DFA6B784989,920051002-85
C1PR2014080422290453DFA6C010A54,920051002-72
C1PR2014080422291353DFA6C9D9542,920051002-70
C1PR2014080422292053DFA6D018F36,920051002-61
C1PR2014080422293853DFA6E2B4749,920051002-197
C1PR2014080422301453DFA70642C28,920071012-32
C1PR2014080422302253DFA70E78A79,920051002-230
C1PR2014080422302553DFA7115BCAB,920071012-30
C1PR2014080422303053DFA716C57D8,920051002-198
C1PR2014080422310753DFA73BDF382,920051002-129
C1PR2014080422311753DFA7456D66E,920071012-17
C1PR2014080422312153DFA749B353E,920071012-15
C1PR2014080422311553DFA743C1667,920051002-58
C1PR2014080422313053DFA75218483,920071012-31
C1PR2014080422313153DFA753CFFD6,920051002-201
C1PR2014080422313953DFA75BAEEE5,920071012-2
C1PR2014080422314053DFA75C29608,920051002-15
C1PR2014080422314853DFA764ED271,920071012-10
C1PR2014080422315553DFA76B0AA39,920071012-13
C1PR2014080422320153DFA771CF991,920071012-33
C1PR2014080422320653DFA77687238,920051002-236
C1PR2014080422321053DFA77ABCF2E,920071012-34
C1PR2014080422321353DFA77DBF183,920051002-136
C1PR2014080422321453DFA77E4FC5E,920071012-5
C1PR2014080422321753DFA781AC461,920051002-20
C1PR2014080422322553DFA789369A4,920071012-21
C1PR2014080422323453DFA792E349E,920071012-6
C1PR2014080422323853DFA79647BF1,920071012-37
C1PR2014080422325153DFA7A39B2CB,920071012-36
C1PR2014080422331453DFA7BA0EC88,920071012-4
C1PR2014080422332353DFA7C302759,920071012-23
C1PR2014080422332653DFA7C6849A6,920051002-88
C1PR2014080422332653DFA7C6E69AD,920071012-20
C1PR2014080422334053DFA7D42E497,920071012-9
C1PR2014080422344453DFA814EC3D0,920071012-29
C1PR2014080422345553DFA81F74D8C,920071012-38
C1PR2014080422351253DFA8307F7CB,920071012-27
C1PR2014080422352653DFA83E8DBC3,920071012-7
C1PR2014080422353753DFA8490DE8A,920071012-24
C1PR2014080422354853DFA854F212F,920071012-25
C1PR2014080422360553DFA865779A7,920071012-35
C1PR2014080422361553DFA86F7DC8A,920071012-28
C1PR2014080422363453DFA882E1510,920071012-12
C1PR2014080422374953DFA8CD89DE5,920071012-1
C1PR2014080422375953DFA8D76C2BA,920071012-18
C1PR2014080422381053DFA8E260679,920071012-26
C1PR2014080422382453DFA8F00FCBD,920071012-19
C1PR2014080422383153DFA8F7B87BD,920071002-4
C1PR2014080422383953DFA8FF77ACA,920071002-6
C1PR2014080422384853DFA90846C04,920071002-3
C1PR2014080422393453DFA93649040,920071002-9
C1PR2014080422394353DFA93FD7E75,920071002-5
C1PR2014080422395053DFA9461CED0,920071002-2
C1PR2014080422395753DFA94D962AE,920071002-8
C1PR2014080422400753DFA957EEADF,920071002-7
C1PR2014082716565453FDAB6694886,550-002-6
